scenario,revenue,deficit,terminal_storage,storage_min,storage_max
1,43905.77777777778,0.0,-334471.1825489175,-364293.79179978184,994757.1470782565
2,43905.77777777778,0.0,413292.4112188956,150329.58245739283,1037493.2148514926
3,43905.77777777778,0.0,89406.10746507865,89406.10746507865,1042236.3967286446
4,43905.77777777778,0.0,227288.76331496442,142037.9719801123,1057756.9255584588
5,43905.77777777778,0.0,388491.19435791933,244795.5146595079,1424794.031154858
6,43905.77777777778,0.0,479760.4421879262,353053.41447769,1201751.1050904552
7,43905.77777777778,0.0,381895.2906616286,223518.334668217,1080051.3599864189
8,43905.77777777778,0.0,-201354.87734166812,-201354.87734166812,1139916.1740615815
9,43905.77777777778,0.0,-21669.515388322936,-59636.55041601858,1179005.6190847058
10,43905.77777777778,0.0,441491.65270963457,441491.65270963457,1327389.3805875385
11,43905.77777777778,0.0,-335146.7331339462,-335146.7331339462,684006.578743108
12,43905.77777777778,0.0,-27193.126941542956,-27193.126941542956,1128111.9340151134
13,43905.77777777778,0.0,200515.99928311724,45294.961061945476,858489.3004417245
14,43905.77777777778,0.0,-885076.722219785,-885076.722219785,915023.0683222611
15,43905.77777777778,0.0,-7237.348765781615,-7237.348765781615,1009716.1096750363
16,43905.77777777778,0.0,-173221.9847717767,-228680.94608385058,892062.9387505328
17,43905.77777777778,0.0,128153.35246901686,-245509.62729832612,816497.2486125432
18,43905.77777777778,0.0,397315.67303680716,314064.7923584094,1051719.1661526156
19,43905.77777777778,0.0,-159472.53520336654,-307640.5480762308,1216466.082053083
20,43905.77777777778,0.0,927201.9447960906,247456.108725901,927201.9447960906
21,43905.77777777778,0.0,-571852.6399717354,-571852.6399717354,1012561.1938288535
22,43905.77777777778,0.0,-357751.41350912955,-357751.41350912955,1158764.9915136658
23,43905.77777777778,0.0,-49878.8152032278,-49878.8152032278,1305616.6912818095
24,43905.77777777778,0.0,400994.43319830473,311193.07182512875,1190035.6658425664
25,43905.77777777778,0.0,-582535.5835235345,-582535.5835235345,963210.2046306843
26,43905.77777777778,0.0,737081.8246071301,685904.2746889696,1332017.5361011631
27,43905.77777777778,0.0,-121744.55590053834,-121744.55590053834,1335456.4018659557
28,43905.77777777778,0.0,429362.5481834067,429362.5481834067,1753294.1477546762
29,43905.77777777778,0.0,493329.9012851199,472198.25420308055,1098583.780363694
30,43905.77777777778,0.0,-625608.0265881491,-625608.0265881491,1057181.7014130212
31,43905.77777777778,0.0,295049.9841116818,169518.41496740608,1110051.454234009
32,43905.77777777778,0.0,41630.53661453363,41630.53661453363,1235961.4688499249
33,43905.77777777778,0.0,143985.68646113726,143985.68646113726,1441244.7621348333
34,43905.77777777778,0.0,-442175.8840715288,-442175.8840715288,1090528.0759109831
35,43905.77777777778,0.0,-374130.8287187265,-870841.5950126878,725466.638334501
36,43905.77777777778,0.0,44302.75402524194,-35375.32489815983,945614.3144163504
37,43905.77777777778,0.0,294661.01877888694,294661.01877888694,1299003.9801883204
38,43905.77777777778,0.0,26775.975334276212,-209470.37064673344,695679.4741899356
39,43905.77777777778,0.0,118433.06226961227,118433.06226961227,1091809.5509790857
40,43905.77777777778,0.0,842342.1125991652,781047.9733568407,1701605.7869003802
41,43905.77777777778,0.0,-113506.4603750126,-175026.4098073016,1025339.8776193293
42,43905.77777777778,0.0,-263741.5309979612,-263741.5309979612,964761.0827842846
43,43905.77777777778,0.0,274721.44600639166,-128234.81195382948,1019768.3414146083
44,43905.77777777778,0.0,-38265.75475690467,-341540.1578082775,836159.8755746451
45,43905.77777777778,0.0,1230504.4170502508,1037351.3351670329,1852011.0651083076
46,43905.77777777778,0.0,-10726.204841279658,-10726.204841279658,952695.8119152761
47,43905.77777777778,0.0,225282.80684669118,225282.80684669118,1580421.3221285574
48,43905.77777777778,0.0,-190647.71797680669,-190647.71797680669,1216897.0264795332
49,43905.77777777778,0.0,-49469.58788058639,-66273.57984428213,1067782.482969182
50,43905.77777777778,0.0,231877.11136603757,-112432.28256388498,1331813.2011668473
51,43905.77777777778,0.0,579767.211580679,525086.1713319271,1379814.6842172616
52,43905.77777777778,0.0,-9590.032800018322,-9590.032800018322,984554.7257163676
53,43905.77777777778,0.0,322750.90525615274,320085.4350149622,1206094.2112777976
54,43905.77777777778,0.0,512880.7160329186,512880.7160329186,1920145.8286417539
55,43905.77777777778,0.0,-375608.5864490806,-375608.5864490806,1254666.9379633837
56,43905.77777777778,0.0,-545546.8124163187,-558226.4168161871,981926.9346153555
57,43905.77777777778,0.0,471464.5590005278,347811.0644778175,1203252.3733498484
58,43905.77777777778,0.0,23718.339108983346,23718.339108983346,884418.2979726805
59,43905.77777777778,0.0,-1028952.246284632,-1028952.246284632,1106156.6040869954
60,43905.77777777778,0.0,848754.2938801525,532989.7775614033,1446430.192072165
61,43905.77777777778,0.0,-263119.7684114397,-450580.08173207974,949909.4223995907
62,43905.77777777778,0.0,-216184.43456774706,-216184.43456774706,1266517.655178667
63,43905.77777777778,0.0,-56453.32996382995,-56453.32996382995,1112460.9351609133
64,43905.77777777778,0.0,256253.21172045707,256253.21172045707,1291335.7305231784
65,43905.77777777778,0.0,1118836.9600510122,1102651.7288472378,1598886.7139991883
66,43905.77777777778,0.0,86046.27815811161,86046.27815811161,1198517.9206300117
67,43905.77777777778,0.0,-134764.02349793562,-392770.1568299101,622988.0793007363
68,43905.77777777778,0.0,-45148.58563400537,-45148.58563400537,867045.1055083603
69,43905.77777777778,0.0,734026.948311067,712677.121146821,1334060.221062581
70,43905.77777777778,0.0,157819.94922335038,2552.225296153687,1104072.1449401611
71,43905.77777777778,0.0,84587.18977786973,84587.18977786973,1267982.758117819
72,43905.77777777778,0.0,-678359.5966338362,-678359.5966338362,866757.9276377351
73,43905.77777777778,0.0,-562807.6944035869,-562807.6944035869,652856.9581171629
74,43905.77777777778,0.0,151441.52662144066,151441.52662144066,1082102.4347000378
75,43905.77777777778,0.0,808127.2894704741,480643.8351291877,1427867.5894894935
76,43905.77777777778,0.0,237545.2752674463,237545.2752674463,1427418.4186199678
77,43905.77777777778,0.0,-472871.2766009063,-472871.2766009063,983146.0939633087
78,43905.77777777778,0.0,-510853.8227629517,-510853.8227629517,779091.6133197497
79,43905.77777777778,0.0,380223.6625673753,311075.27133873117,1102885.170067886
80,43905.77777777778,0.0,-245651.8033272042,-245651.8033272042,1382073.364568833
81,43905.77777777778,0.0,312002.3951515303,312002.3951515303,1105503.328811634
82,43905.77777777778,0.0,-236929.17292862118,-236929.17292862118,982725.9886628294
83,43905.77777777778,0.0,-317593.8330638292,-317593.8330638292,1073937.2398420498
84,43905.77777777778,0.0,-348840.10297553637,-348840.10297553637,975257.261386514
85,43905.77777777778,0.0,-72969.10523086693,-72969.10523086693,1446980.6977481784
86,43905.77777777778,0.0,-243517.21645331616,-243517.21645331616,942002.0926296118
87,43905.77777777778,0.0,36294.010707581765,36294.010707581765,1242399.636557912
88,43905.77777777778,0.0,-459986.5130989165,-459986.5130989165,1036593.8951220522
89,43905.77777777778,0.0,347677.61644121865,284945.4873667547,1178703.7555468052
90,43905.77777777778,0.0,-612231.1675504032,-612231.1675504032,1052912.1566572455
91,43905.77777777778,0.0,408069.7271053277,408069.7271053277,1709637.6350197534
92,43905.77777777778,0.0,434622.8372569325,394507.93090601545,941666.869365411
93,43905.77777777778,0.0,293361.3629032074,-137699.25611917872,992076.92558835
94,43905.77777777778,0.0,165486.24747359252,124103.281851087,1225530.701829624
95,43905.77777777778,0.0,-161670.41024270747,-161670.41024270747,1185357.5760294108
96,43905.77777777778,0.0,-657322.5310722713,-720860.947582646,600421.2092065834
97,43905.77777777778,0.0,443641.0350816908,353197.64628808806,1171512.9826959604
98,43905.77777777778,0.0,127879.54346663819,127879.54346663819,1224287.9439172912
99,43905.77777777778,0.0,606417.1100006027,384322.03379612905,1386759.0475521432
100,43905.77777777778,0.0,-1182975.4360332943,-1182975.4360332943,494254.49470365734
